label,name,accession,country,province,city,collection_date
Wuhan-Hu-1|MN908947|China|Hubei|Wuhan|2019-12-26,,MN908947,China,Hubei,Wuhan,2019-12-26
China/WHU02/2020|EPI_ISL_406717|China|Hubei|Wuhan|2020-01-02,WHU02,EPI_ISL_406717,China,Hubei,Wuhan,2020-01-02
China/WHU01/2020|EPI_ISL_406716|China|Hubei|Wuhan|2020-01-02,WHU01,EPI_ISL_406716,China,Hubei,Wuhan,2020-01-02
Wuhan/HBCDC-HB-01/2019|EPI_ISL_402132|China|Hubei|Wuhan|2019-12-30,HBCDC-HB-01,EPI_ISL_402132,China,Hubei,Wuhan,2019-12-30
Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|China|Hubei|Wuhan|2019-12-30,HBCDC-HB-02,EPI_ISL_412898,China,Hubei,Wuhan,2019-12-30
Wuhan/HBCDC-HB-02/2020|EPI_ISL_412978|China|Hubei|Wuhan|2020-01-17,HBCDC-HB-02,EPI_ISL_412978,China,Hubei,Wuhan,2020-01-17
Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|China|Hubei|Wuhan|2019-12-30,HBCDC-HB-03,EPI_ISL_412899,China,Hubei,Wuhan,2019-12-30
Wuhan/HBCDC-HB-03/2020|EPI_ISL_412979|China|Hubei|Wuhan|2020-01-18,HBCDC-HB-03,EPI_ISL_412979,China,Hubei,Wuhan,2020-01-18
Wuhan/HBCDC-HB-04/2020|EPI_ISL_412980|China|Hubei|Wuhan|2020-01-18,HBCDC-HB-04,EPI_ISL_412980,China,Hubei,Wuhan,2020-01-18
Wuhan/HBCDC-HB-05/2020|EPI_ISL_412981|China|Hubei|Wuhan|2020-01-18,HBCDC-HB-05,EPI_ISL_412981,China,Hubei,Wuhan,2020-01-18
Wuhan/HBCDC-HB-06/2020|EPI_ISL_412982|China|Hubei|Wuhan|2020-02-07,HBCDC-HB-06,EPI_ISL_412982,China,Hubei,Wuhan,2020-02-07
Wuhan/IPBCAMS-WH-01/2019|EPI_ISL_402123|China|Hubei|Wuhan|2019-12-24,IPBCAMS-WH-01,EPI_ISL_402123,China,Hubei,Wuhan,2019-12-24
Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|China|Hubei|Wuhan|2019-12-30,IPBCAMS-WH-02,EPI_ISL_403931,China,Hubei,Wuhan,2019-12-30
Wuhan/IPBCAMS-WH-03/2019|EPI_ISL_403930|China|Hubei|Wuhan|2019-12-30,IPBCAMS-WH-03,EPI_ISL_403930,China,Hubei,Wuhan,2019-12-30
Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|China|Hubei|Wuhan|2019-12-30,IPBCAMS-WH-04,EPI_ISL_403929,China,Hubei,Wuhan,2019-12-30
Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|China|Hubei|Wuhan|2020-01-01,IPBCAMS-WH-05,EPI_ISL_403928,China,Hubei,Wuhan,2020-01-01
Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|China|Hubei|Wuhan|2019-12-30,IVDC-HB-01,EPI_ISL_402119,China,Hubei,Wuhan,2019-12-30
Wuhan/IVDC-HB-04/2020|EPI_ISL_402120|China|Hubei|Wuhan|2020-01-01,IVDC-HB-04,EPI_ISL_402120,China,Hubei,Wuhan,2020-01-01
Wuhan/IVDC-HB-05/2019|EPI_ISL_402121|China|Hubei|Wuhan|2019-12-30,IVDC-HB-05,EPI_ISL_402121,China,Hubei,Wuhan,2019-12-30
Wuhan/IVDC-HB-envF13-20/2020|EPI_ISL_408514|China|Hubei|Wuhan|2020-01-01,IVDC-HB-envF13-20,EPI_ISL_408514,China,Hubei,Wuhan,2020-01-01
Wuhan/IVDC-HB-envF13-21/2020|EPI_ISL_408515|China|Hubei|Wuhan|2020-01-01,IVDC-HB-envF13-21,EPI_ISL_408515,China,Hubei,Wuhan,2020-01-01
Wuhan/WH01/2019|EPI_ISL_406798|China|Hubei|Wuhan|2019-12-26,WH01,EPI_ISL_406798,China,Hubei,Wuhan,2019-12-26
Wuhan/WH03/2020|EPI_ISL_406800|China|Hubei|Wuhan|2020-01-01,WH03,EPI_ISL_406800,China,Hubei,Wuhan,2020-01-01
Wuhan/WH04/2020|EPI_ISL_406801|China|Hubei|Wuhan|2020-01-05,WH04,EPI_ISL_406801,China,Hubei,Wuhan,2020-01-05
Wuhan/WH05/2020|EPI_ISL_408978|China|Hubei|Wuhan|2020-02-07,WH05,EPI_ISL_408978,China,Hubei,Wuhan,2020-02-07
Wuhan/WIV02/2019|EPI_ISL_402127|China|Hubei|Wuhan|2019-12-30,WIV02,EPI_ISL_402127,China,Hubei,Wuhan,2019-12-30
Wuhan/WIV04/2019|EPI_ISL_402124|China|Hubei|Wuhan|2019-12-30,WIV04,EPI_ISL_402124,China,Hubei,Wuhan,2019-12-30
Wuhan/WIV05/2019|EPI_ISL_402128|China|Hubei|Wuhan|2019-12-30,WIV05,EPI_ISL_402128,China,Hubei,Wuhan,2019-12-30
Wuhan/WIV06/2019|EPI_ISL_402129|China|Hubei|Wuhan|2019-12-30,WIV06,EPI_ISL_402129,China,Hubei,Wuhan,2019-12-30
Wuhan/WIV07/2019|EPI_ISL_402130|China|Hubei|Wuhan|2019-12-30,WIV07,EPI_ISL_402130,China,Hubei,Wuhan,2019-12-30
Jingzhou/HBCDC-HB-01/2020|EPI_ISL_412459|China|Hubei|Jingzhou|2020-01-08,HBCDC-HB-01,EPI_ISL_412459,China,Hubei,Jingzhou,2020-01-08
Tianmen/HBCDC-HB-07/2020|EPI_ISL_412983|China|Hubei|Wuhan|2020-02-08,HBCDC-HB-07,EPI_ISL_412983,China,Hubei,Wuhan,2020-02-08
Shenzhen/HKU-SZ-005/2020|EPI_ISL_405839|China|Guangdong|Shenzhen|2020-01-11,HKU-SZ-005,EPI_ISL_405839,China,Guangdong,Shenzhen,2020-01-11
Shenzhen/SZTH-002/2020|EPI_ISL_406593|China|Guangdong|Shenzhen|2020-01-13,SZTH-002,EPI_ISL_406593,China,Guangdong,Shenzhen,2020-01-13
Shenzhen/SZTH-003/2020|EPI_ISL_406594|China|Guangdong|Shenzhen|2020-01-16,SZTH-003,EPI_ISL_406594,China,Guangdong,Shenzhen,2020-01-16
Guangdong/20SF012/2020|EPI_ISL_403932|China|Guangdong|Shenzhen|2020-01-14,20SF012,EPI_ISL_403932,China,Guangdong,Shenzhen,2020-01-14
Guangdong/20SF013/2020|EPI_ISL_403933|China|Guangdong|Shenzhen|2020-01-15,20SF013,EPI_ISL_403933,China,Guangdong,Shenzhen,2020-01-15
Guangdong/20SF014/2020|EPI_ISL_403934|China|Guangdong|Shenzhen|2020-01-15,20SF014,EPI_ISL_403934,China,Guangdong,Shenzhen,2020-01-15
Guangdong/20SF025/2020|EPI_ISL_403935|China|Guangdong|Shenzhen|2020-01-15,20SF025,EPI_ISL_403935,China,Guangdong,Shenzhen,2020-01-15
Guangdong/20SF028/2020|EPI_ISL_403936|China|Guangdong|Zhuhai|2020-01-17,20SF028,EPI_ISL_403936,China,Guangdong,Zhuhai,2020-01-17
Guangdong/20SF040/2020|EPI_ISL_403937|China|Guangdong|Zhuhai|2020-01-18,20SF040,EPI_ISL_403937,China,Guangdong,Zhuhai,2020-01-18
Guangdong/20SF174/2020|EPI_ISL_406531|China|Guangdong|Zhuhai|2020-01-22,20SF174,EPI_ISL_406531,China,Guangdong,Zhuhai,2020-01-22
Guangdong/20SF201/2020|EPI_ISL_406538|China|Guangdong|Guangzhou|2020-01-23,20SF201,EPI_ISL_406538,China,Guangdong,Guangzhou,2020-01-23
Guangzhou/20SF206/2020|EPI_ISL_406533|China|Guangdong|Guangzhou|2020-01-22,20SF206,EPI_ISL_406533,China,Guangdong,Guangzhou,2020-01-22
Foshan/20SF207/2020|EPI_ISL_406534|China|Guangdong|Foshan|2020-01-22,20SF207,EPI_ISL_406534,China,Guangdong,Foshan,2020-01-22
Foshan/20SF210/2020|EPI_ISL_406535|China|Guangdong|Foshan|2020-01-22,20SF210,EPI_ISL_406535,China,Guangdong,Foshan,2020-01-22
Foshan/20SF211/2020|EPI_ISL_406536|China|Guangdong|Foshan|2020-01-22,20SF211,EPI_ISL_406536,China,Guangdong,Foshan,2020-01-22
China/IQTC02/2020|EPI_ISL_412967|China|Guangdong|Guangzhou|2020-01-29,IQTC02,EPI_ISL_412967,China,Guangdong,Guangzhou,2020-01-29
China/IQTC01/2020|EPI_ISL_412966|China|Guangdong|Guangzhou|2020-02-05,IQTC01,EPI_ISL_412966,China,Guangdong,Guangzhou,2020-02-05
China/2020XN4239-P0034/2020|EPI_ISL_413888|China|Guangdong|Guangzhou|2020-01-30,2020XN4239-P0034,EPI_ISL_413888,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4243-P0035/2020|EPI_ISL_413853|China|Guangdong|Guangzhou|2020-01-30,2020XN4243-P0035,EPI_ISL_413853,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4273-P0036/2020|EPI_ISL_413860|China|Guangdong|Guangzhou|2020-01-30,2020XN4273-P0036,EPI_ISL_413860,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4276-P0037/2020|EPI_ISL_413859|China|Guangdong|Guangzhou|2020-01-31,2020XN4276-P0037,EPI_ISL_413859,China,Guangdong,Guangzhou,2020-01-31
China/2020XN4291-P0038/2020|EPI_ISL_413889|China|Guangdong|Guangzhou|2020-01-30,2020XN4291-P0038,EPI_ISL_413889,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4373-P0039/2020|EPI_ISL_413851|China|Guangdong|Guangzhou|2020-01-30,2020XN4373-P0039,EPI_ISL_413851,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4433-P0040/2020|EPI_ISL_413852|China|Guangdong|Guangzhou|2020-01-30,2020XN4433-P0040,EPI_ISL_413852,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4448-P0002/2020|EPI_ISL_413857|China|Guangdong|Guangzhou|2020-01-31,2020XN4448-P0002,EPI_ISL_413857,China,Guangdong,Guangzhou,2020-01-31
China/2020XN4459-P0041/2020|EPI_ISL_413858|China|Guangdong|Guangzhou|2020-01-30,2020XN4459-P0041,EPI_ISL_413858,China,Guangdong,Guangzhou,2020-01-30
China/2020XN4475-P0042/2020|EPI_ISL_413854|China|Guangdong|Guangzhou|2020-01-30,2020XN4475-P0042,EPI_ISL_413854,China,Guangdong,Guangzhou,2020-01-30
China/DG-S9-P0045/2020|EPI_ISL_413868|China|Guangdong|Dongguan|2020-02-28,DG-S9-P0045,EPI_ISL_413868,China,Guangdong,Dongguan,2020-02-28
China/FS-S42-P0046/2020|EPI_ISL_413869|China|Guangdong|Foshan|2020-02-28,FS-S42-P0046,EPI_ISL_413869,China,Guangdong,Foshan,2020-02-28
China/FS-S48-P0047/2020|EPI_ISL_413870|China|Guangdong|Foshan|2020-02-28,FS-S48-P0047,EPI_ISL_413870,China,Guangdong,Foshan,2020-02-28
China/GD2020080-P0010/2020|EPI_ISL_413861|China|Guangdong|Guangzhou|2020-02-01,GD2020080-P0010,EPI_ISL_413861,China,Guangdong,Guangzhou,2020-02-01
China/GD2020086-P0021/2020|EPI_ISL_413862|China|Guangdong|Guangzhou|2020-02-01,GD2020086-P0021,EPI_ISL_413862,China,Guangdong,Guangzhou,2020-02-01
China/GD2020087-P0008/2020|EPI_ISL_413863|China|Guangdong|Guangzhou|2020-02-01,GD2020087-P0008,EPI_ISL_413863,China,Guangdong,Guangzhou,2020-02-01
China/GD2020115-P0009/2020|EPI_ISL_413884|China|Guangdong|Guangzhou|2020-02-01,GD2020115-P0009,EPI_ISL_413884,China,Guangdong,Guangzhou,2020-02-01
