Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_408670	hCoV-19/USA/WI1/2020	North America / USA / Wisconsin	2020-01-31	Wisconsin Department of Health Services	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Jing Zhang, Anna Uehara, Krista Queen, Yan Li, Ying Tao, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408665	hCoV-19/Japan/TY-WK-012/2020	Asia / Japan / Tokyo	2020-01-29	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408667	hCoV-19/Japan/TY-WK-521/2020	Asia / Japan / Tokyo	2020-01-31	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408666	hCoV-19/Japan/TY-WK-501/2020	Asia / Japan / Tokyo	2020-01-31	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408669	hCoV-19/Japan/KY-V-029/2020	Asia / Japan / Kyoto	2020-01-29	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408668	hCoV-19/Vietnam/VR03-38142/2020	Asia / Vietnam / Thanh Hoa	2020-01-24	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	"Ung Thi Hong Trang, Hoang Vu Mai Phuong, Nguyen Le Khanh Hang, Nguyen Vu Son, Le Thi Thanh, Vuong Duc Cuong, Nguyen Phuong Anh, Pham Thi Hien, Tran Thu Huong, Le Thi Quynh Mai,"
EPI_ISL_410532	hCoV-19/Japan/OS-20-07-1/2020	Asia / Japan / Osaka	2020-01-23	"Dept. of Pathology, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_410531	hCoV-19/Japan/NA-20-05-1/2020	Asia / Japan / Nara	2020-01-25	"Dept. of Pathology, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_406034	hCoV-19/USA/CA1/2020	North America / USA / California / Los Angeles	2020-01-23	California Department of Public Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_406036	hCoV-19/USA/CA2/2020	North America / USA / California / Orange County	2020-01-22	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong "
EPI_ISL_406031	hCoV-19/Taiwan/2/2020	Asia / Taiwan / Kaohsiung	2020-01-23	"Centers for Disease Control, R.O.C. (Taiwan)"	"Centers for Disease Control, R.O.C. (Taiwan)"	"Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li"
